trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
180,False,"{'a': 0.835270211411272, 'e': 0.16529888822158656}",20,15,7.092895911430943,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.8344353586957896, 'e': 0.16365413680270408}",20,0,12.113480893528656,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
182,False,"{'a': 0.8336013404157353, 'e': 0.16202575093388077}",20,0,-53.22317765991701,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
183,False,"{'a': 0.832768155737091, 'e': 0.16041356777517277}",20,8,-1.935866462951063,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
184,False,"{'a': 0.8319358038266718, 'e': 0.1588174261069207}",25,3,32.55705082203788,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.8311042838521256, 'e': 0.1572371663136276}",20,14,11.274312981101467,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.8302735949819328, 'e': 0.1556726303679973}",25,14,-2.494549793817045,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
187,False,"{'a': 0.8294437363854039, 'e': 0.15412366181513143}",25,8,9.604182897787684,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.8286147072326806, 'e': 0.15259010575688386}",25,0,37.481417412473995,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
189,False,"{'a': 0.8277865066947336, 'e': 0.15107180883637084}",20,14,11.194633231594283,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.8269591339433623, 'e': 0.14956861922263506}",20,9,17.256127884319252,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.8261325881511938, 'e': 0.14808038659546244}",20,5,19.766727082888345,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.8253068684916823, 'e': 0.14660696213035015}",25,20,9.205291323801463,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.8244819741391082, 'e': 0.14514819848362376}",25,20,8.27731707825257,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.8236579042685769, 'e': 0.14370394977770296}",35,10,-63.26553696278846,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",1
195,False,"{'a': 0.8228346580560184, 'e': 0.1422740715865136}",30,0,45.17260445500042,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.8220122346781865, 'e': 0.140858420921045}",25,5,23.64658872086009,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.821190633312658, 'e': 0.13945685621505094}",30,19,24.149528620540384,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.8203698531378311, 'e': 0.13806923731089282}",30,8,35.38603543462493,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.8195498933329256, 'e': 0.13669542544552388}",35,0,10.793885205627374,"{0: 32, 1: 1, 2: 1, 3: 1, 4: 0}",0
200,False,"{'a': 0.8187307530779818, 'e': 0.1353352832366127}",20,6,18.18871631598051,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
